,Title,Year,Doc,Romance,Sci Fi,Comedy,Crime,Drama,Horror,Thriller,Action,Fantasy,Animation,DTW,Notable Actors,Director,Description,Review Rating,Review Comment
,Grey Gardens,1975,x,,,x,,x,,,,,,,,Ellen Hoyde,,👍,
,In The Loop,2014,,,,x,,,,,,,,,Peter Capaldi,Armando Ianucci,Very funny political comedy from Glasgow legend Armando Ianucci,👍,
,Dark Days,2000,x,,,,,,,,,,,,,,Doc detailing the homeless living in tunnels under NY,👍,
,Jojo Rabbit,2019,,,,x,,x,,,,,,,"Scarlett Johanssen, Sam Rockwell",Taika Waititi,Young Nazi who's imaginary friend is Hitler finds hiding Jewish girl in house,👍,"Enjoyable & funny watch, loved the casting. Yorki (Jojo's best mate) stole the show for sure - totally adorable. Interesting portrayal of WW2 in a very Waititi style - colourful, silly and a bit slapstick at times. Marmite reviews but up for lots of awards."
,Lady Bird,2017,,,,x,,x,,,,,,,Saorsie Ronan,Greta Gerwig,,👍,
,"Synecdoche, New York",2009,,,,x,,x,,,,,,,Philip Seymour Hoffman,Charlie Kaufman,,👍,"Can't make my mind up on this. A totally draining, miserable, bleak and ultimately tragic film. Can't quite call it beautiful as it just felt so joyless, but there is defintely some grand sense of _something_ in it. Powerful, I think. But it felt fucking long, and it was only 2 hours length. Hoffmann is amazing in it. Very art-house and one for people who like films abstract and high in concept, certainly surreal. Sort of explores what it means to be human, and looks into how similar we all are, how we're all struggling and on the planet together. Life that exists before birth and after death is a strong motif throughout it (amongst many other motifs). Explores the human condition for sure, but unlike so many other films or stories that do, this doesn't leave any sense of joy or happiness, but perhaps it is meant in some way. Slept on it a lot, it's difficult to watch this film but it's concept is strong enough that it's stood out as a good flim, also a film with joy can still have value."
,Vice,2018,,,,x,,x,,,,,,,"Christian Bale, Amy Adams, Steve Carrell",Adam McKay,,👍,Dick Cheney is a monster. Christian Bale is amazing
,1917,,,,,,,,,,,,,,,,,👍,
,Beautiful Boy,2018,,,,,,x,,,,,,,"Steve Carrell, Timmy Chalamet",Felix van Groeningen,,👍,"wasn't enjoying the first half but film definitely turned a corner. Seemed a bit inauthentic at times, hard to believe timmy chalamet as a drug addict and some of the scenes of drug taking were just a bit meh.  Pace, build of tension and general belief in the characters does build - at the beginning thought it was a contender for first 'cancelled' but stayed with it and worth it"
,Boyhood,2014,,,,,,x,,,,,,,,Richard Linklater,,👍,
,Cabin In The Woods (not Cabin Fever),2011,,,,,,,x,,,,,,,Drew Goddard,"Reputably a good horror movie, Chris Hemsworth before he blossomed",👍,"Once you accept and get used to the deliberately cliche dialogue, it's a FUN film that totally plays around the horror genre and continues to shift and flip the expectations through the film. Can see why it's often referenced as it's one of those few films that succeeds in throwing total surprises into the mix. Film pans out into something totally different from where it starts. Don't expect anything that's genius, just a solid fun film good for a hangover."
